,RA,DEC,ECLONG,ECLAT,V,Ks,TESSMAG,TEFF,RADIUS,MASS,CONTRATIO,SELECTED,tess_ccd,obs_len,isMdwarf,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,Ntransits,ars,ecc,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,nsectors
143393,34.12746,-51.512154,0.999924,-58.985607,3.536,4.1269998999999995,3.8210001000000013,0.0,3.3012599999999996,4.5029502,0.013752961999999999,True,3,54.8,False,0.05020987321204395,60.47285406820839,2,3.874227489022353,15.987397840200998,105070,14.091574278987865,3.0,13.364132028779736,0.0864271637173595,0.010743944028037671,0.7089963711889452,0.27478920873442314,2.568061722316299,115.43233327760632,113.86633391420494,2.0
143430,129.989987,-53.054729,164.84888,-66.410661,5.165,5.5329999999999995,5.4289999,0.0,2.9049699,3.65745,0.055675365,True,3,54.8,False,0.1012201011079149,62.98539422534081,1,18.26064495983164,4.426974049615032,105117,1.8429451793519005,12.0,6.01993863622747,0.0554072370676852,0.057548343136794175,0.6155210218159457,0.20304235359191086,2.2074909934597384,3311.811797790205,3137.1498356317193,2.0
143493,140.27051699999998,-81.05836499999998,248.392517,-71.058215,10.367,8.974,9.847000099999999,6483.0,1.2940201,1.3234143,0.063803032,True,3,82.19999999999997,False,0.13197052873511486,187.78988812905087,1,2.596991539239374,1.33025258737215,105232,0.7655291388510919,62.0,4.320326589879576,0.060197974025414484,0.018373329395529842,0.6017321282449357,0.08174031823858728,1.4006311569168004,337.579233076641,317.33245997802436,3.0
143532,100.68900699999999,-62.704784,144.823758,-84.027079,11.216,9.928000500000001,10.708,6082.0,1.01178,1.1389858999999998,0.018776171,True,4,328.7999999999999,False,0.0916992832559398,290.58204154312415,2,1.927052195075244,3.1544175620766906,105286,2.7297741703670018,104.0,9.346214224623633,0.02767298929986565,0.01743675783857544,0.8377793803492097,0.06232552468074161,1.2230341746401852,304.04052392112214,298.4370194119137,12.0
143630,81.55301899999998,-60.602886,53.908579,-82.96920699999998,10.814,9.2770004,10.238999999999999,5785.0,0.92292303,1.0376744,0.0049987109,True,4,328.7999999999999,False,0.015017067498340309,227.5306696299015,2,1.4739521830694364,5.0617358555018885,105426,2.9509701949841904,65.0,13.614158025721009,0.01666996971509486,0.014620972494315904,0.207606092354262,0.11765504442788133,1.6803931284878404,213.7728366795422,212.70956306809944,12.0
143962,215.83707200000003,-21.441187,220.54068199999998,-6.811775,10.922,9.125,10.238,5721.0,1.11081,1.0206233,0.0012919178,True,1,27.4,False,0.0045853686646516465,227.41593848513838,4,2.734614357481381,6.02295883784208,105805,5.7618895184518575,4.0,12.631595986283749,0.126668097704718,0.02253796278638295,0.0643255489517598,0.1550594911828214,1.929100253586556,507.9597665603826,507.3043710134526,1.0
144522,353.124768,13.714023,359.263716,15.294020000000002,15.474,10.427999999999999,12.866,3272.0,0.27200001,0.25799999,0.008611301,True,1,27.4,True,0.007733185438549728,1110.8475318842625,4,3.961246747471032,9.38188649101918,106131,3.75572660725968,3.0,43.829583490557454,0.03292174092538508,0.1333279876463876,0.3492186801413912,0.07347206537809055,1.3279042017684006,17776.352289835282,17624.581711716597,1.0
144523,353.124768,13.714023,359.263716,15.294020000000002,15.474,10.427999999999999,12.866,3272.0,0.27200001,0.25799999,0.008611301,True,1,27.4,True,0.007733185438549728,1110.8475318842625,4,2.8386008545216663,2.5073876381090576,106131,1.2983119947396236,11.0,18.1853451296443,0.13012811755866693,0.0955418745137026,0.13315415956087012,0.047755069044009835,1.0705707155794222,9128.249785592096,9050.314800698528,1.0
145546,235.409127,28.046108,223.745607,46.086725,14.812000000000001,10.204,12.607000000000001,3446.0,0.43083301,0.42836896,0.1480386,True,2,54.8,True,0.05662833605381756,927.4040637857796,3,2.5450226686635875,2.681044322471404,106695,2.1844339608708587,20.0,14.215733516914911,0.11128645432526592,0.05408054162705672,0.7059699706459823,0.047089478568039064,1.0630839504163994,2924.7049826758143,2547.566765329854,2.0
146781,337.52360700000014,49.778202,7.374097999999999,53.01029000000001,14.286,10.367,12.369000000000002,3814.0,0.54799998,0.59399998,0.095132984,True,3,54.8,False,0.0015110008803809196,789.3750949631984,1,2.1875514373156597,3.4757156551405437,107207,2.3227768754493923,16.0,14.817695932852233,0.016404560116940813,0.036545682736384144,0.022154232375211302,0.07743870638270163,1.3632787510941549,1335.586926668446,1219.5659761704758,2.0
147209,295.831546,54.562641000000006,328.515486,72.767256,13.709000000000001,9.135000199999999,11.385,3526.0,0.40200001,0.41800001,0.58274132,True,3,82.19999999999997,True,0.010541586493693187,425.5603281251466,2,1.727191087702741,19.32111874433464,107410,0.10510059058013538,5.0,56.37983462530212,0.033151192320909365,0.03933441297157827,0.6079786143567596,0.09196123640623094,1.4856209724386442,1547.1960438186647,977.541954751434,3.0
