,TESSMAG,Ks,transit_depth,planetPeriod,RADIUS,TEFF
83519,7.964000200000001,7.224,174.9148820603194,5.368139706360831,1.33643,6911.0
83604,9.9320002,8.2349997,2544.022702606902,9.189990250413489,0.72070801,4395.1001
83641,9.946999499999999,8.8879995,372.47762386015916,12.430004893691855,1.28585,5735.0
83651,9.4429998,8.585,20314.041296908625,2.0637830838395734,1.0783200000000002,6747.0
83697,9.4989996,8.1730003,662.4361102018718,7.191994377151638,0.85481501,5004.0
83705,8.809,7.8299999000000025,386.54023292907664,4.64306528283893,1.11426,5730.0
83765,9.2349997,8.2980003,441.43019962501353,7.543229197945322,1.0328,5709.0
83974,14.74,11.88,12069.548473756477,3.023507119049803,0.156,2965.0
84599,8.385999700000001,6.3200002,1957.7474011921693,4.727641240875834,0.25999999,3246.0
85560,5.369,5.4169998,756.8389685021806,17.632023912394715,2.56323,0.0
85575,9.263999900000002,7.272999799999999,849.8868099954512,6.2904345260657,0.57700002,3854.0
85720,10.25,9.272000300000002,194.2731520586697,16.82666317824748,1.00165,5891.0
85733,10.357000000000001,9.3409996,445.1755234479165,1.3815276279669024,0.86213303,5805.0
85764,10.005,9.111000099999998,586.0615754717631,6.194349436755385,1.19382,6098.0
85823,10.811,9.680000300000001,975.5917813881964,18.691552745139386,0.90046901,5558.0
85824,10.811,9.680000300000001,2198.5821935212493,45.394600944572886,0.90046901,5558.0
85925,9.2299995,8.293000200000002,1666.736286347958,6.213046836282114,1.57128,5736.0
85928,9.9289999,7.888999900000001,594.5071793380322,7.7342988389178595,0.48100001,3678.0
86054,9.8249998,8.847000099999997,1020.3836230191404,57.55280942173199,1.1230299,6028.0
86060,10.665,9.6099997,557.3893591478488,18.047918608836483,1.00409,5655.0
86450,8.661999699999999,7.5830002000000025,389.4827773997522,3.5658653708158528,0.91454202,5519.0
86493,7.919000099999999,7.014999900000001,206.69550131071296,16.744158279766495,1.23948,5897.0
86568,9.076999699999998,8.027999900000001,1810.722175171528,4.322969363761366,1.0673,5508.0
86585,7.875,7.262000099999999,276.05972015989227,14.893000108865944,1.5767799999999998,6725.0
86723,8.2489996,7.270999900000001,218.780060366761,9.260756691460877,1.37445,5834.0
86968,9.994999900000002,8.831000300000003,174.92883977434215,3.4561843523777385,0.950858,5296.0
86978,10.808,9.4440002,4027.196069784946,3.745914986466212,0.8370620000000001,4941.0
87075,10.238,9.2539997,387.9912410198429,12.55379725704505,1.0982299999999998,5688.0
87078,10.097000000000001,9.177,606.2902033017604,8.119632539966709,1.10546,5707.0
87120,9.5950003,8.727999699999998,186.89526609223262,6.520864856128473,1.19212,5922.0
87121,9.5950003,8.727999699999998,1230.0836687434798,26.249998990091466,1.19212,5922.0
87126,10.068,8.6859999,4115.750772391988,3.57435793344189,0.847651,4979.0
87153,8.505999599999999,7.6729999000000015,765.6021779065562,8.74095960253346,1.2266700000000001,5999.0
87154,8.505999599999999,7.6729999000000015,245.9854349082333,9.361247781457724,1.2266700000000001,5999.0
87245,11.345999999999998,9.5760002,1369.0881923087127,6.6062155867285695,0.71887797,4424.0
87406,9.8409996,8.8879995,520.1571092446245,5.5073903798327875,1.1227601,5752.0
87494,10.825999999999999,9.661999699999999,238.7941006300311,4.768560937422432,1.02651,5498.0
87560,12.818,10.655999999999999,3243.178463704528,2.3185712089522204,0.47700000000000004,3670.0
87940,11.967,9.7749996,1488.778081643265,1.060199858533657,0.479,3673.0
88034,12.607999999999999,10.062000000000001,2570.509021864847,2.1526412362483875,0.243,3208.0
88035,12.607999999999999,10.062000000000001,5553.619312521545,0.6348672596730035,0.243,3208.0
88272,11.437000000000001,9.3739996,15126.219331572205,5.270395976268095,0.69305998,4255.0
88330,12.82,10.458,1431.1258914832456,6.388326249697647,0.42919099,3443.0
88880,11.833,9.668999699999999,12787.089847793985,13.669285289281433,0.52540398,3638.0
90039,12.673,10.332,2108.7170173953923,2.2467001498466583,0.31299999,3355.0
90187,13.458,10.954,4154.414535380186,2.67297484596991,0.37200001,3470.0
90609,13.889000000000001,11.499,5838.608558265893,3.0511670326694644,0.287,3302.0
90625,12.217,10.023,2210.451517577051,4.806090754273386,0.34599999,3420.0
91189,13.88,11.185,7283.192603702301,6.711841642260108,0.27217099,3154.0
91628,14.370999999999999,11.716,24524.359812958155,1.8256075741076851,0.184,3059.0
91629,14.370999999999999,11.716,8051.197600018193,4.864386545423919,0.184,3059.0
92243,10.744000000000002,9.382,780.2179030596326,8.163690029733797,0.83927798,4949.0601
92245,11.127,9.7349997,883.1727785280232,13.047027296298467,0.71275401,4869.8799
92333,10.176,8.888999900000002,1827.0255925203714,8.094881572933081,0.95679402,5096.0
92368,10.241,8.9090004,414.73390274809265,3.780020062525326,0.84482902,4969.0
92451,10.833,9.5170002,387.4874004560209,2.9196501836914583,0.86781901,5048.0
92452,10.833,9.5170002,1666.8279285891197,12.955901371799765,0.86781901,5048.0
92457,10.809000000000001,9.371999699999998,1451.099712556608,2.5455714927574498,0.83324999,4927.0
93765,13.165,10.91,2295.456030926756,3.5313157876318524,0.38699999,3499.0
95178,11.546,9.0010004,7003.659608038463,2.7347271151014287,0.35499999,3160.0
95627,12.4,10.068,7646.980737507995,3.080119199378607,0.32300001,3376.0
95628,12.4,10.068,2709.751954476736,1.6580207492971553,0.32300001,3376.0
95922,12.939,10.481,2604.8864321251167,0.8903053387367529,0.245,3211.0
95968,11.864,9.6359997,2375.531242662967,4.188523643932245,0.35800001,3443.0
96169,12.825999999999999,10.468,2587.9097195548256,1.0293680158536485,0.30199999,3334.0
96751,5.1090002,5.2519999,1536.5800194260794,13.305832270975008,2.9411199,0.0
96774,5.6929998,5.625,2587.376767233558,4.147385864525727,2.0468099,9120.0
96790,7.4070000999999985,6.3200002,1141.312289790826,17.938749024348038,0.91924697,5494.6001
97339,7.4200000999999975,6.5359998,782.3781103943103,5.548446533773965,1.65645,5985.98
97374,7.9650002,7.0450000999999975,355.4056465892544,26.33698918470673,0.96305501,5862.6802
97375,7.9650002,7.0450000999999975,758.546727490353,12.537592163933553,0.96305501,5862.6802
97444,8.9049997,8.0670004,332.63228680887346,15.164151685543287,1.48519,5824.1001
97499,9.984000199999999,8.736000099999998,408.04188538657934,3.0465926868518216,0.8085140000000001,5293.0
97667,10.17,8.9429998,490.18995656563715,7.494035137645642,1.09094,5523.0
97916,10.53,9.1850004,356.9585176154563,6.515510613000611,0.85135603,4992.0
97945,10.267999999999999,9.2390003,280.037237930308,2.604098763428912,1.0695698999999999,5612.0
97969,10.862,9.239999800000001,596.9037586880851,2.0960834442740808,0.74520802,4545.0
97977,10.466,9.116000199999998,372.8732174021842,3.2314932136200225,0.84539098,4971.0
97991,8.602999699999998,7.79,69.72070597754043,0.9945486992923996,1.31431,6179.0
98066,9.052,8.2489996,144.7172611032049,0.8569405469207674,1.2942200000000001,6139.0
98191,10.300999999999998,8.901,8897.552893059166,1.969030061579814,0.831361,4920.0
98377,10.515,9.604000099999999,781.0050769689234,26.66696912321976,1.2013201,5943.0
98418,10.055,9.158,213.37297938026532,3.2993274044380563,1.1182299999999998,6166.7998
98558,11.232000000000001,9.171999900000001,1711.1244923236627,12.19759814723314,0.44299999,3604.0
98597,10.462,8.1569996,1380.8116192344207,3.8898175289032295,0.35800001,3444.0
99108,13.465,10.53,19355.91854282379,4.092809791102117,0.196364,2974.0
99197,13.681,11.109000000000002,10737.741865634072,23.53747606355873,0.221,3157.0
100262,12.049000000000001,9.8669996,3653.168780145548,4.1922553456329705,0.449,3616.0
100613,11.284,9.944999699999999,324.6149381671133,3.7006999571980623,0.860663,5024.0
101088,11.345,9.3500004,2876.1911660950877,16.74442786093646,0.65447903,4052.0
101873,10.204,8.9329996,4636.8151168221975,3.50191631799837,0.881657,5093.0
102467,13.448,11.245999999999999,1203.06367966134,1.5787690920877135,0.37,3466.0
102468,13.448,11.245999999999999,6716.189533598493,8.209083912162411,0.37,3466.0
103098,12.161,10.1,7368.126914759913,7.485381357557228,0.55000001,3817.0
103495,13.677,11.265999999999998,9219.296353361464,5.633809240452906,0.30899999,3348.0
105252,6.9650002,5.3860002,240.9708108328936,3.6552109100660286,0.78178102,4899.21
105389,6.711,5.8130002,258.84689159047826,3.5110519262987028,1.2415299,5889.6802
105425,9.305000300000001,7.3850002,520.2637825250537,17.72325620884784,0.597,4008.0
105487,8.5170002,7.6199999000000025,576.5157473898428,0.9616152937254464,1.3573600000000001,6126.0
105539,7.679999799999999,6.5749998,405.94809969250315,9.272788944527267,0.86706698,5481.3799
105555,8.3299999,7.282999999999999,796.4098646556987,4.278552651643117,1.10381,5611.0
105572,8.6569996,7.954,279.7603380270386,5.596316709969461,1.42682,6416.3599
105701,9.3940001,8.550999599999999,589.7150661995937,13.774968926435028,1.14881,6124.0
105731,9.3669996,8.100999799999999,417.87969575071816,1.3012329162514358,0.86577201,5080.0
105768,8.7740002,7.789,556.4102392454243,3.7710260850275765,1.4483401000000002,5833.0
105826,8.472000099999999,7.665999900000001,290.2604948830035,13.635339848895725,1.0736299999999999,6175.0
105881,9.520999900000001,8.243,350.9198276548073,2.6922572778430567,0.82497799,5167.0
105895,8.869999900000002,7.994,561.2905799480169,16.65288366590063,1.18097,5950.0
105949,8.991000199999998,8.1610003,421.64162018944086,5.9882735969202106,1.5273700000000001,6353.0
106251,10.079,9.156000099999998,513.801237203034,22.363575195891585,0.99466902,5853.0
106324,6.506,6.3639998,97.91522973892016,8.257573588609947,2.20296,8583.0
106745,11.515,10.286,1272.6974987165595,6.018782514558346,0.92866999,5234.0
107454,11.561,9.3640003,5786.000865360488,10.716583315982977,0.44800001,3613.0
107908,11.417,9.7819996,1926.6987271405146,8.459141843092201,0.74150902,4526.0
107925,11.085,9.161999699999999,1767.134335882382,8.024829724785782,0.695669,4270.0
107937,11.864,10.009,943.1241578554093,14.253518392024553,0.71121901,4360.0
107938,11.864,10.009,1413.4882353178916,13.64042934842617,0.71121901,4360.0
108121,11.110999999999999,8.7419996,2081.8422345220815,4.334666580408511,0.49028099,3561.0
108491,12.312999999999999,9.9849997,6675.404801432989,20.60219168268548,0.287,3303.0
108492,12.312999999999999,9.9849997,1417.3560301550506,3.456672251765163,0.287,3303.0
108524,13.13,10.939,5939.747492467296,1.7499497389487595,0.43399999,3587.0
109259,13.433,10.829,19076.645996763124,2.110680186218012,0.233,3184.0
110408,12.770999999999999,10.357999999999999,12130.32989652595,9.16493614647802,0.214,3139.0
112808,9.661999699999999,8.5760002,277.87747835065653,15.70785231226689,1.0071599,5577.0
113518,11.864,9.661000300000001,2640.639922099495,14.312461511909067,0.43799999,3596.0
114094,12.462,9.951999699999998,9416.159465463106,3.942440839224451,0.26199999,3251.0
